"time_forc","temperature_forc"
1879,-0.14067
1880,-0.1196
1881,-0.0696
1882,-0.0696
1883,-0.1396
1884,-0.2096
1885,-0.2196
1886,-0.1996
1887,-0.2496
1888,-0.1496
1889,-0.0996
1890,-0.3196
1891,-0.2496
1892,-0.2996
1893,-0.3196
1894,-0.2796
1895,-0.2196
1896,-0.0896
1897,-0.1096
1898,-0.2596
1899,-0.1196
1900,-0.0696
1901,-0.1396
1902,-0.2396
1903,-0.3296
1904,-0.4196
1905,-0.2896
1906,-0.2196
1907,-0.3696
1908,-0.4396
1909,-0.4296
1910,-0.3896
1911,-0.4396
1912,-0.3396
1913,-0.3296
1914,-0.1496
1915,-0.0796
1916,-0.2996
1917,-0.3196
1918,-0.2096
1919,-0.2096
1920,-0.2196
1921,-0.1496
1922,-0.2296
1923,-0.2196
1924,-0.2596
1925,-0.1496
1926,-0.0696
1927,-0.1496
1928,-0.1796
1929,-0.2996
1930,-0.1096
1931,-0.0796
1932,-0.1196
1933,-0.2496
1934,-0.1096
1935,-0.1396
1936,-0.1196
1937,-0.0196
1938,-0.0296
1939,-0.0096
1940,0.1004
1941,0.2004
1942,0.1504
1943,0.1604
1944,0.2904
1945,0.1704
1946,0.000399999999999999
1947,-0.0496
1948,-0.0496
1949,-0.0596
1950,-0.1596
1951,-0.0096
1952,0.0304
1953,0.1004
1954,-0.1096
1955,-0.1296
1956,-0.1996
1957,0.0504
1958,0.1104
1959,0.0604
1960,0.0204
1961,0.0804
1962,0.0904
1963,0.1104
1964,-0.1496
1965,-0.0696
1966,-0.0196
1967,-0.0096
1968,-0.0296
1969,0.1004
1970,0.0404
1971,-0.0796
1972,0.0304
1973,0.1704
1974,-0.0696
1975,0.000399999999999999
1976,-0.0796
1977,0.2004
1978,0.1104
1979,0.2304
1980,0.2704
1981,0.3004
1982,0.1804
1983,0.3404
1984,0.1504
1985,0.1404
1986,0.2304
1987,0.3704
1988,0.3804
1989,0.3004
1990,0.4304
1991,0.4104
1992,0.2604
1993,0.2904
1994,0.3404
1995,0.4604
1996,0.3204
1997,0.5204
1998,0.6404
1999,0.4504
2000,0.4304
2001,0.5504
2002,0.6104
2003,0.6204
2004,0.5804
2005,0.6604
2006,0.6204
2007,0.6104
2008,0.5404
2009,0.6404
2010,0.7104
2011,0.5804
2012,0.6304
2013,0.6704
2014,0.7404
2015,0.9004
2016,0.9404
2017,0.853227233886741
2018,0.811723327636741
2019,0.901628112792991
2020,0.790544128417991
2021,0.978654479980491
2022,1.06858978271487
2023,0.956376647949241
2024,1.13038787841799
2025,1.01121673583987
2026,1.09907684326174
2027,1.07173309326174
2028,1.08909759521487
2029,1.31263885498049
2030,1.31721649169924
2031,1.34047088623049
2032,1.38359222412112
2033,1.41493377685549
2034,1.17176971435549
2035,1.26405487060549
2036,1.51173553466799
2037,1.43467864990237
2038,1.44578704833987
2039,1.59575042724612
2040,1.55928192138674
2041,1.67271575927737
2042,1.73530731201174
2043,1.66096649169924
2044,1.73176727294924
2045,1.75419769287112
2046,1.78904876708987
2047,1.90315399169924
2048,1.82206878662112
2049,1.82603607177737
2050,2.00047454833987
2051,1.86720428466799
2052,1.96437225341799
2053,2.16380462646487
2054,2.16597137451174
2055,2.21403656005862
2056,2.19636688232424
2057,2.42991790771487
2058,2.28465423583987
2059,2.34648284912112
2060,2.32847747802737
2061,2.41719207763674
2062,2.47978363037112
2063,2.63658294677737
2064,2.60704193115237
2065,2.65007171630862
2066,2.66630706787112
2067,2.84526214599612
2068,2.79594573974612
2069,2.89427337646487
2070,2.76350555419924
2071,2.86259613037112
2072,3.01197967529299
2073,2.89570770263674
2074,3.08863983154299
2075,3.19938812255862
2076,3.11900482177737
2077,3.29850921630862
2078,3.29765472412112
2079,3.43962249755862
2080,3.48616180419924
2081,3.46421966552737
2082,3.49250946044924
2083,3.51762542724612
2084,3.66151580810549
2085,3.56950531005862
2086,3.66505584716799
2087,3.70997772216799
2088,3.74504241943362
2089,3.80345306396487
2090,3.76997528076174
2091,3.98936614990237
2092,4.02555999755862
2093,4.12651214599612
2094,4.10850677490237
2095,4.07869110107424
2096,4.15788421630862
2097,4.28218231201174
2098,4.27449188232424
2099,4.23680267333987
2100,4.28392181396487
