Southern Hemisphere Land and Ocean Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999.0000
Year,Value
1880,-0.05
1881,-0.01
1882,-0.01
1883,-0.06
1884,-0.12
1885,-0.18
1886,-0.18
1887,-0.26
1888,-0.17
1889,-0.06
1890,-0.29
1891,-0.22
1892,-0.22
1893,-0.19
1894,-0.23
1895,-0.15
1896,-0.04
1897,-0.05
1898,-0.27
1899,-0.12
1900,-0.11
1901,-0.21
1902,-0.23
1903,-0.33
1904,-0.38
1905,-0.25
1906,-0.21
1907,-0.29
1908,-0.41
1909,-0.42
1910,-0.38
1911,-0.45
1912,-0.19
1913,-0.22
1914,-0.10
1915,-0.08
1916,-0.27
1917,-0.25
1918,-0.17
1919,-0.09
1920,-0.16
1921,-0.23
1922,-0.22
1923,-0.23
1924,-0.32
1925,-0.24
1926,-0.16
1927,-0.21
1928,-0.24
1929,-0.32
1930,-0.21
1931,-0.18
1932,-0.22
1933,-0.27
1934,-0.20
1935,-0.22
1936,-0.22
1937,-0.13
1938,-0.15
1939,-0.12
1940,0.07
1941,0.18
1942,0.13
1943,0.09
1944,0.31
1945,0.26
1946,-0.10
1947,-0.11
1948,-0.14
1949,-0.11
1950,-0.15
1951,-0.11
1952,0.01
1953,0.00
1954,-0.17
1955,-0.22
1956,-0.18
1957,0.06
1958,0.05
1959,0.03
1960,-0.02
1961,0.07
1962,0.04
1963,0.02
1964,-0.14
1965,-0.03
1966,-0.08
1967,-0.07
1968,-0.04
1969,0.20
1970,0.09
1971,-0.03
1972,0.22
1973,0.23
1974,0.05
1975,0.05
1976,0.06
1977,0.29
1978,0.18
1979,0.34
1980,0.36
1981,0.27
1982,0.28
1983,0.42
1984,0.28
1985,0.29
1986,0.32
1987,0.46
1988,0.40
1989,0.31
1990,0.40
1991,0.43
1992,0.37
1993,0.36
1994,0.34
1995,0.39
1996,0.38
1997,0.50
1998,0.59
1999,0.38
2000,0.38
2001,0.48
2002,0.55
2003,0.54
2004,0.50
2005,0.54
2006,0.52
2007,0.47
2008,0.45
2009,0.61
2010,0.59
2011,0.50
2012,0.55
2013,0.59
2014,0.62
2015,0.72
2016,0.75
