9.0 deg N, 79.6 deg W July Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-9999
1881,-9999
1882,-9999
1883,-9999
1884,-0.70
1885,-1.12
1886,-0.60
1887,-0.71
1888,-0.12
1889,-0.56
1890,-0.84
1891,-0.43
1892,-0.99
1893,-9999
1894,-0.47
1895,-9999
1896,-0.36
1897,-0.76
1898,-0.54
1899,-0.46
1900,-9999
1901,-9999
1902,-0.17
1903,-0.52
1904,-0.76
1905,-0.48
1906,-0.80
1907,-1.06
1908,-1.01
1909,-0.81
1910,-0.95
1911,-0.64
1912,-0.76
1913,-1.10
1914,-0.70
1915,-0.46
1916,-0.87
1917,-0.74
1918,-0.63
1919,-0.57
1920,-0.94
1921,-0.71
1922,-0.85
1923,-0.51
1924,-0.72
1925,-0.58
1926,-0.55
1927,-0.50
1928,-0.76
1929,-0.44
1930,-0.46
1931,-0.45
1932,-0.22
1933,-0.53
1934,-0.40
1935,-0.38
1936,0.00
1937,-0.35
1938,-0.38
1939,-0.23
1940,0.16
1941,-0.20
1942,-0.26
1943,0.13
1944,-0.21
1945,-0.50
1946,-0.42
1947,-0.64
1948,-0.32
1949,-0.73
1950,-0.60
1951,0.05
1952,-0.50
1953,0.01
1954,-0.82
1955,-0.64
1956,-0.43
1957,0.14
1958,0.26
1959,-0.26
1960,-0.50
1961,-0.52
1962,-0.64
1963,-0.35
1964,-0.78
1965,0.09
1966,-0.32
1967,-0.65
1968,-0.58
1969,0.32
1970,-0.53
1971,-0.67
1972,0.31
1973,-0.36
1974,-0.51
1975,-0.93
1976,-0.20
1977,-0.45
1978,-0.32
1979,-0.12
1980,-0.02
1981,-0.42
1982,-0.13
1983,0.87
1984,-0.45
1985,-0.39
1986,-0.08
1987,0.22
1988,-0.07
1989,-0.25
1990,-0.10
1991,0.00
1992,-0.19
1993,0.03
1994,-0.18
1995,-0.28
1996,-0.63
1997,0.77
1998,0.48
1999,-0.44
2000,-0.23
2001,0.02
2002,-0.08
2003,-0.10
2004,-0.14
2005,0.33
2006,0.58
2007,-0.01
2008,0.30
2009,0.29
2010,0.42
2011,0.30
2012,0.28
2013,-0.03
2014,0.72
2015,0.83
2016,0.45
2017,0.33
