9.0 deg N, 79.6 deg W May Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-9999
1881,-9999
1882,-9999
1883,-0.35
1884,-9999
1885,-1.27
1886,-0.60
1887,-0.83
1888,-0.32
1889,-0.11
1890,-0.93
1891,0.08
1892,-1.15
1893,-1.26
1894,-1.00
1895,-0.21
1896,-0.80
1897,-0.27
1898,-0.76
1899,-0.43
1900,-9999
1901,-0.50
1902,-0.12
1903,-0.35
1904,-0.85
1905,-0.62
1906,-0.94
1907,-1.29
1908,-1.04
1909,-0.69
1910,-1.23
1911,-0.49
1912,-0.84
1913,-1.20
1914,-1.12
1915,-0.46
1916,-0.92
1917,-0.94
1918,-1.04
1919,-0.69
1920,-0.88
1921,-0.72
1922,-1.14
1923,-0.60
1924,-0.73
1925,-0.31
1926,-0.36
1927,-0.79
1928,-0.72
1929,-0.83
1930,-0.50
1931,-0.31
1932,-0.02
1933,-0.57
1934,-0.53
1935,-0.65
1936,-0.14
1937,-0.25
1938,-0.70
1939,-0.52
1940,-0.24
1941,0.45
1942,-0.08
1943,-0.41
1944,-0.41
1945,-0.99
1946,-0.59
1947,-1.11
1948,-0.29
1949,-0.61
1950,-1.06
1951,-0.01
1952,-0.42
1953,-0.19
1954,-0.77
1955,-0.78
1956,-0.56
1957,0.15
1958,0.30
1959,-0.31
1960,-0.10
1961,-0.19
1962,-0.65
1963,-0.36
1964,-0.53
1965,-0.14
1966,-0.58
1967,-0.71
1968,-1.11
1969,0.89
1970,-0.60
1971,-0.89
1972,-0.15
1973,-0.29
1974,-0.66
1975,-0.65
1976,-0.35
1977,-0.43
1978,-0.31
1979,-0.01
1980,-0.10
1981,-0.24
1982,-0.24
1983,0.92
1984,-0.31
1985,-0.75
1986,-0.35
1987,0.16
1988,0.03
1989,-0.58
1990,0.02
1991,-0.20
1992,0.45
1993,0.40
1994,-0.28
1995,-0.23
1996,-0.53
1997,0.50
1998,1.14
1999,-0.13
2000,-0.20
2001,-0.35
2002,0.19
2003,-0.02
2004,-0.32
2005,0.61
2006,0.01
2007,-0.18
2008,-0.12
2009,-0.11
2010,0.70
2011,0.00
2012,0.38
2013,-0.09
2014,0.48
2015,0.83
2016,0.82
2017,0.44
