9.0 deg N, 79.6 deg W September Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-0.08
1881,-0.32
1882,-9999
1883,-9999
1884,-0.24
1885,-0.25
1886,-0.51
1887,-9999
1888,-0.16
1889,-0.33
1890,-9999
1891,-0.18
1892,-0.59
1893,-0.50
1894,-0.75
1895,-0.49
1896,-0.01
1897,0.02
1898,-0.59
1899,-0.31
1900,-0.54
1901,-9999
1902,-9999
1903,-0.50
1904,-0.64
1905,-0.44
1906,-0.83
1907,-0.99
1908,-0.60
1909,-0.62
1910,-0.59
1911,-0.58
1912,-0.80
1913,-0.75
1914,-0.77
1915,-0.41
1916,-0.54
1917,-0.38
1918,-0.41
1919,-0.46
1920,-0.60
1921,-0.66
1922,-0.79
1923,-0.65
1924,-0.59
1925,-0.60
1926,-0.61
1927,-0.39
1928,-0.51
1929,-0.51
1930,-0.42
1931,-0.57
1932,-0.05
1933,-0.41
1934,-0.31
1935,-0.52
1936,-0.09
1937,0.07
1938,-0.30
1939,-0.36
1940,-0.08
1941,-0.11
1942,0.10
1943,0.16
1944,-0.14
1945,0.01
1946,-0.09
1947,-0.57
1948,-0.25
1949,-0.61
1950,-0.39
1951,-0.08
1952,-0.23
1953,0.24
1954,-0.32
1955,-0.41
1956,-0.43
1957,0.14
1958,0.12
1959,-0.23
1960,-0.18
1961,-0.33
1962,-0.23
1963,0.00
1964,-0.34
1965,-0.36
1966,-0.16
1967,-0.48
1968,-0.13
1969,0.07
1970,-0.47
1971,-0.72
1972,-0.06
1973,-0.64
1974,-0.73
1975,-0.78
1976,-0.24
1977,-0.35
1978,-0.32
1979,-0.51
1980,-0.19
1981,-0.45
1982,-0.16
1983,-0.12
1984,-0.58
1985,-0.27
1986,-0.27
1987,0.24
1988,-0.46
1989,-0.41
1990,-0.06
1991,0.12
1992,-0.33
1993,-0.45
1994,0.07
1995,0.04
1996,-0.23
1997,0.58
1998,0.20
1999,-0.24
2000,-0.16
2001,-0.06
2002,0.25
2003,0.25
2004,0.36
2005,0.36
2006,0.55
2007,0.04
2008,0.58
2009,0.60
2010,-0.03
2011,0.25
2012,0.49
2013,0.30
2014,0.24
2015,0.85
2016,0.60
2017,0.61
