37.0 deg N, 76.3 deg W December Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-2.25
1881,1.48
1882,-2.08
1883,-0.22
1884,-0.39
1885,-0.84
1886,-2.36
1887,-0.65
1888,-1.19
1889,2.60
1890,-1.51
1891,1.30
1892,-1.81
1893,0.37
1894,0.27
1895,0.21
1896,-1.12
1897,-0.14
1898,-1.19
1899,-0.58
1900,-0.52
1901,-1.49
1902,-1.10
1903,-2.85
1904,-2.53
1905,-0.42
1906,-0.53
1907,-0.17
1908,-0.05
1909,-2.48
1910,-3.59
1911,1.18
1912,0.63
1913,0.75
1914,-1.21
1915,-1.18
1916,-1.09
1917,-4.05
1918,1.04
1919,-1.77
1920,0.25
1921,0.27
1922,0.33
1923,2.27
1924,-0.35
1925,-0.54
1926,-1.25
1927,0.16
1928,0.11
1929,0.21
1930,-1.26
1931,2.68
1932,1.05
1933,0.68
1934,-0.38
1935,-2.29
1936,0.33
1937,-0.61
1938,0.23
1939,0.49
1940,1.27
1941,1.16
1942,-1.31
1943,-0.46
1944,-1.39
1945,-2.10
1946,1.34
1947,-0.39
1948,0.88
1949,1.12
1950,-1.35
1951,0.75
1952,-0.14
1953,0.95
1954,-0.57
1955,-2.04
1956,2.85
1957,0.88
1958,-2.16
1959,0.55
1960,-2.49
1961,-0.73
1962,-2.17
1963,-2.94
1964,0.56
1965,0.21
1966,-0.81
1967,0.07
1968,-1.41
1969,-1.69
1970,0.02
1971,2.35
1972,1.53
1973,0.47
1974,0.45
1975,0.18
1976,-2.05
1977,-0.81
1978,0.72
1979,0.66
1980,-0.95
1981,-1.56
1982,2.20
1983,-1.16
1984,2.46
1985,-0.72
1986,0.40
1987,0.43
1988,-0.75
1989,-4.10
1990,1.53
1991,0.93
1992,-0.02
1993,-0.84
1994,1.75
1995,-1.88
1996,0.55
1997,-0.07
1998,1.86
1999,1.07
2000,-2.73
2001,2.33
2002,-0.75
2003,-0.46
2004,0.11
2005,-1.15
2006,2.07
2007,0.86
2008,0.49
2009,-0.32
2010,-2.63
2011,1.94
2012,2.08
2013,0.84
2014,1.01
2015,4.81
2016,0.70
