37.0 deg N, 76.3 deg W June Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,0.13
1881,-1.17
1882,-1.18
1883,-0.39
1884,-0.87
1885,-0.95
1886,-1.36
1887,-0.87
1888,-0.49
1889,-1.39
1890,0.58
1891,-0.42
1892,0.51
1893,-1.00
1894,-0.46
1895,0.21
1896,-0.54
1897,-0.89
1898,-0.28
1899,0.44
1900,-0.41
1901,-0.27
1902,-1.05
1903,-2.20
1904,-0.56
1905,-0.77
1906,0.08
1907,-3.03
1908,-0.68
1909,-0.18
1910,-1.73
1911,0.03
1912,-0.90
1913,-0.83
1914,0.26
1915,-1.44
1916,-1.94
1917,-0.96
1918,-1.45
1919,-0.43
1920,-1.30
1921,0.03
1922,0.33
1923,0.14
1924,-1.01
1925,1.15
1926,-1.80
1927,-2.16
1928,-1.21
1929,-0.67
1930,-0.03
1931,-0.64
1932,-0.27
1933,0.18
1934,1.02
1935,-0.44
1936,-0.35
1937,0.46
1938,-0.93
1939,0.91
1940,-0.01
1941,-0.70
1942,0.64
1943,2.41
1944,1.14
1945,0.28
1946,-0.93
1947,-0.85
1948,-0.30
1949,0.67
1950,-0.47
1951,-0.19
1952,1.07
1953,0.03
1954,-0.06
1955,-1.89
1956,-0.40
1957,0.81
1958,-1.57
1959,-0.18
1960,-0.32
1961,-0.99
1962,-0.16
1963,-0.64
1964,-0.14
1965,-1.33
1966,-1.19
1967,-1.20
1968,-0.69
1969,0.27
1970,-0.38
1971,-0.04
1972,-1.86
1973,0.49
1974,-1.38
1975,-0.07
1976,-0.09
1977,-1.24
1978,-0.52
1979,-1.55
1980,-1.22
1981,0.79
1982,-1.18
1983,-0.55
1984,0.24
1985,-0.57
1986,0.14
1987,0.60
1988,-0.86
1989,0.74
1990,-0.10
1991,0.44
1992,-1.60
1993,-0.37
1994,0.80
1995,-0.44
1996,-0.07
1997,-1.51
1998,0.08
1999,-0.05
2000,0.38
2001,0.39
2002,0.31
2003,-1.14
2004,-0.09
2005,0.18
2006,-0.04
2007,-0.02
2008,1.09
2009,0.17
2010,2.28
2011,1.33
2012,0.05
2013,0.39
2014,0.45
2015,1.29
2016,0.40
2017,0.28
