37.0 deg N, 76.3 deg W May Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,1.79
1881,0.39
1882,-2.19
1883,-1.09
1884,-0.26
1885,-1.04
1886,-0.49
1887,0.98
1888,-0.96
1889,-0.46
1890,-0.26
1891,-1.31
1892,-0.30
1893,-1.22
1894,0.65
1895,-0.70
1896,1.99
1897,-0.84
1898,-0.15
1899,0.10
1900,-0.16
1901,-0.50
1902,0.05
1903,0.77
1904,0.30
1905,0.58
1906,0.15
1907,-1.80
1908,0.55
1909,-0.37
1910,-1.00
1911,1.50
1912,0.59
1913,0.06
1914,0.38
1915,-0.18
1916,0.51
1917,-2.45
1918,1.54
1919,-0.05
1920,-2.10
1921,-0.71
1922,0.56
1923,-0.81
1924,-1.58
1925,-1.24
1926,-0.40
1927,-0.31
1928,-1.14
1929,-0.01
1930,0.99
1931,-0.23
1932,-0.29
1933,1.58
1934,0.35
1935,-1.09
1936,0.90
1937,0.32
1938,0.14
1939,0.74
1940,-0.55
1941,0.34
1942,1.61
1943,1.11
1944,2.57
1945,-0.45
1946,0.35
1947,0.17
1948,-0.03
1949,0.59
1950,-0.20
1951,0.26
1952,-0.16
1953,1.97
1954,-0.88
1955,0.66
1956,-0.72
1957,0.76
1958,-0.42
1959,1.17
1960,-0.33
1961,-1.40
1962,1.28
1963,-0.83
1964,0.42
1965,1.24
1966,-1.14
1967,-2.54
1968,-1.29
1969,-0.02
1970,0.57
1971,-1.31
1972,-0.73
1973,-0.89
1974,-0.03
1975,0.89
1976,-0.63
1977,0.67
1978,-1.09
1979,0.17
1980,0.37
1981,-0.78
1982,0.87
1983,-0.61
1984,-0.30
1985,0.77
1986,0.65
1987,0.56
1988,-0.40
1989,-0.64
1990,-0.31
1991,2.19
1992,-1.48
1993,0.42
1994,-1.17
1995,-0.27
1996,-0.63
1997,-1.40
1998,0.92
1999,0.26
2000,1.03
2001,-0.14
2002,-0.29
2003,-0.81
2004,2.27
2005,-1.67
2006,-0.53
2007,0.30
2008,-0.90
2009,0.71
2010,1.37
2011,1.20
2012,2.24
2013,0.09
2014,1.01
2015,1.91
2016,-0.24
2017,0.45
