37.0 deg N, 76.3 deg W November Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-2.27
1881,0.14
1882,-1.59
1883,-0.30
1884,-1.04
1885,-1.12
1886,-0.33
1887,-1.45
1888,-0.83
1889,-0.62
1890,-0.14
1891,-1.96
1892,-1.59
1893,-1.21
1894,-1.33
1895,-0.34
1896,1.28
1897,-0.53
1898,-1.40
1899,-0.25
1900,0.54
1901,-2.72
1902,1.50
1903,-2.08
1904,-2.03
1905,-1.33
1906,-0.90
1907,-1.64
1908,-0.66
1909,0.31
1910,-2.88
1911,-1.44
1912,-0.35
1913,-0.35
1914,-0.69
1915,-0.16
1916,-0.62
1917,-2.34
1918,-1.14
1919,-0.52
1920,-0.70
1921,0.78
1922,-0.40
1923,-1.50
1924,-0.65
1925,-1.36
1926,-1.37
1927,1.03
1928,0.06
1929,0.12
1930,-0.77
1931,1.87
1932,-0.75
1933,-1.07
1934,0.42
1935,1.16
1936,-0.98
1937,-0.98
1938,0.58
1939,-1.06
1940,-0.58
1941,0.43
1942,0.26
1943,-0.88
1944,-0.48
1945,0.27
1946,1.42
1947,-0.67
1948,1.62
1949,0.25
1950,-0.29
1951,-1.47
1952,-0.23
1953,-0.13
1954,-1.16
1955,-1.07
1956,-0.27
1957,0.15
1958,0.48
1959,-0.60
1960,0.03
1961,0.37
1962,-1.53
1963,0.08
1964,0.61
1965,-0.51
1966,-0.44
1967,-2.22
1968,-0.15
1969,-1.34
1970,-0.12
1971,-0.21
1972,-1.07
1973,0.40
1974,-0.14
1975,1.48
1976,-2.90
1977,0.45
1978,0.71
1979,1.03
1980,-1.45
1981,-0.85
1982,0.57
1983,-0.19
1984,-0.87
1985,2.54
1986,0.07
1987,0.18
1988,-0.44
1989,-0.36
1990,0.53
1991,-0.72
1992,-0.34
1993,-0.31
1994,1.24
1995,-1.89
1996,-2.49
1997,-1.35
1998,-0.07
1999,1.56
2000,-1.22
2001,1.51
2002,-0.50
2003,1.64
2004,0.70
2005,0.67
2006,0.71
2007,-0.22
2008,-1.04
2009,1.15
2010,-0.10
2011,0.91
2012,-1.35
2013,-0.83
2014,-1.43
2015,1.88
2016,0.56
