37.0 deg N, 76.3 deg W October Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -9999
Year,Value
1880,-0.88
1881,1.31
1882,0.80
1883,-0.65
1884,0.84
1885,-1.35
1886,-0.09
1887,-1.17
1888,-2.59
1889,-2.09
1890,-0.58
1891,-1.65
1892,-1.19
1893,-0.42
1894,-0.14
1895,-2.14
1896,-1.29
1897,-0.07
1898,0.46
1899,0.32
1900,1.97
1901,-0.51
1902,0.35
1903,-0.49
1904,-1.24
1905,-0.28
1906,-0.49
1907,-2.17
1908,-0.17
1909,-1.96
1910,0.94
1911,0.01
1912,0.51
1913,0.09
1914,0.87
1915,0.87
1916,-0.24
1917,-1.90
1918,0.85
1919,2.46
1920,0.99
1921,0.08
1922,0.70
1923,-1.10
1924,-0.62
1925,-1.58
1926,-0.14
1927,0.77
1928,0.73
1929,-1.09
1930,-0.99
1931,1.05
1932,0.10
1933,-0.01
1934,-0.10
1935,-0.08
1936,0.66
1937,-1.06
1938,-0.24
1939,0.63
1940,-1.25
1941,2.30
1942,0.40
1943,-0.69
1944,-0.05
1945,-0.24
1946,0.80
1947,1.94
1948,-1.07
1949,1.95
1950,0.62
1951,1.04
1952,-1.13
1953,0.50
1954,1.17
1955,0.43
1956,0.37
1957,-1.31
1958,-0.47
1959,1.27
1960,0.17
1961,-0.05
1962,0.33
1963,0.26
1964,-1.62
1965,-1.12
1966,-1.12
1967,-0.90
1968,0.46
1969,-0.23
1970,0.97
1971,2.20
1972,-1.15
1973,0.80
1974,-1.34
1975,0.96
1976,-1.73
1977,-1.07
1978,-0.77
1979,-0.58
1980,-0.70
1981,-1.54
1982,-0.08
1983,0.09
1984,1.80
1985,1.21
1986,0.72
1987,-2.11
1988,-2.41
1989,0.13
1990,1.18
1991,0.06
1992,-1.34
1993,-0.74
1994,-0.89
1995,0.98
1996,-0.47
1997,-0.19
1998,0.31
1999,-0.26
2000,0.13
2001,-0.28
2002,0.75
2003,-0.38
2004,0.20
2005,0.92
2006,-0.43
2007,2.79
2008,-0.53
2009,-0.41
2010,0.81
2011,0.07
2012,0.63
2013,0.88
2014,1.02
2015,0.25
2016,1.62
2017,1.97
